Jusidiction,States,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
Fresno, California,0.114,0.124,1.64,1.63,,,,,
Frisco, Texas,0.011,0.02,2.05,2,,,,,
Fullerton, California,0.056,0.055,1.96,2.02,,,,,
Gainesville, Florida,0.104,0.114,1.48,1.44,,,,,
Garden Grove, California,0.053,0.046,2.23,2.19,,,,,
Garland, Texas,0.046,0.044,1.99,2.04,,,,,
Gilbert, Arizona,0.019,0.017,2.04,2.08,,,,,
Glendale, Arizona,0.084,0.09,1.66,1.72,,,,,
Glendale, California,0.117,0.114,1.65,1.67,,,,,
Grand Prairie, Texas,0.038,0.033,2.03,2.03,,,,,
Grand Rapids, Michigan,0.125,0.12,1.51,1.56,,,,,
Greeley, Colorado,0.057,0.058,1.92,1.92,,,,,
Green Bay, Wisconsin,0.086,0.085,1.61,1.66,,,,,
Greensboro, North Carolina,0.061,0.073,1.64,1.61,,,,,
Gresham, Oregon,0.098,0.085,1.68,1.87,,,,,
Hampton, Virginia,0.067,0.078,1.75,1.69,,,,,
Hartford, Connecticut,0.303,0.326,1,0.99,,,,,
Hayward, California,0.06,0.057,2.08,2.12,,,,,
Henderson, Nevada,0.028,0.05,1.79,1.74,,,,,
Hialeah, Florida,0.126,0.122,1.53,1.58,,,,,
High Point, North Carolina,0.087,0.091,1.65,1.66,,,,,
Highlands Ranch, Colorado,0.027,0.015,2.07,2.04,,,,,
Hillsboro, Oregon,0.076,0.059,1.7,1.86,,,,,
Hollywood, Florida,0.114,0.097,1.52,1.53,,,,,
Honolulu, Hawaii,0.166,0.172,1.4,1.4,,,,,
Houston, Texas,0.083,0.081,1.58,1.59,,,,,
Huntington Beach, California,0.026,0.022,1.98,1.99,,,,,
Huntsville, Alabama,0.066,0.063,1.68,1.7,,,,,
Independence, Missouri,0.075,0.058,1.7,1.7,,,,,
Indianapolis, Indiana,0.105,0.087,1.54,1.63,,,,,
Inglewood, California,0.098,0.098,1.63,1.69,,,,,
Irvine, California,0.05,0.04,1.77,1.83,,,,,
Irving, Texas,0.045,0.049,1.72,1.75,,,,,
Jackson, Mississippi,0.11,0.076,1.6,1.68,,,,,
Jacksonville, Florida,0.083,0.087,1.62,1.62,,,,,
Jersey City, New Jersey,0.401,0.371,0.81,0.85,,,,,
Joliet, Illinois,0.072,0.066,1.83,1.91,,,,,
Jurupa Valley, California,0.048,0.049,2.39,2.32,,,,,
Kansas City, Kansas,0.101,0.086,1.78,1.72,,,,,
Kansas City, Missouri,0.114,0.113,1.55,1.58,,,,,
Kent, Washington,0.07,0.087,1.98,1.85,,,,,
Killeen, Texas,0.063,0.062,1.72,1.79,,,,,
Knoxville, Tennessee,0.097,0.113,1.57,1.59,,,,,
Lafayette, Louisiana,0.106,0.08,1.6,1.6,,,,,
Lakeland, Florida,0.07,0.056,1.53,1.54,,,,,
Lakewood, Colorado,0.055,0.065,1.85,1.84,,,,,
Lancaster, California,0.096,0.077,1.78,1.77,,,,,
Lansing, Michigan,0.126,0.134,1.41,1.45,,,,,
