id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
4815324,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,22.01,$111.00 ,Private room,1,1,2
32073077,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.89,$79.00 ,Private room,1,1,1
15743731,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.84,$105.00 ,Entire home/apt,2,3,3
27836316,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.42,$85.00 ,Entire home/apt,1,1,1
14062402,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.92,$75.00 ,Private room,1.5,1,1
27318302,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.44,$110.00 ,Private room,1,1,1
30700187,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.45,$101.00 ,Entire home/apt,1,1,1
16604285,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.70,$70.00 ,Private room,1,1,1
992838,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.82,$114.00 ,Private room,1,1,1
21937115,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.91,$110.00 ,Entire home/apt,1,1,1
17387927,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.21,$121.00 ,Entire home/apt,1,2,2
24756584,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.24,$94.00 ,Entire home/apt,1,1,1
2620938,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.60,$94.00 ,Entire home/apt,1,2,2
27892120,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.41,$80.00 ,Entire home/apt,1,0,1
21462083,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.29,$136.00 ,Entire home/apt,1,1,1
7099847,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,22.19,$125.00 ,Private room,1,1,2
16705398,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.14,$87.00 ,Entire home/apt,1,1,1
18160182,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.33,$115.00 ,Private room,1,1,2
33076034,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.86,$85.00 ,Private room,1,2,2
7351253,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.20,"$1,080.00 ",Entire home/apt,2,3,4
17174356,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.83,$91.00 ,Entire home/apt,1,0,1
14360381,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.28,$141.00 ,Private room,1,3,6
21700820,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.83,$129.00 ,Entire home/apt,1,2,4
29597687,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.36,$95.00 ,Entire home/apt,1,0,1
14942821,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.25,$140.00 ,Entire home/apt,1,2,5
33596750,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.96,$94.00 ,Private room,1.5,1,1
15747657,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.38,$89.00 ,Private room,1,1,2
8978428,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.86,$99.00 ,Entire home/apt,1,1,4
23090322,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.55,$119.00 ,Entire home/apt,1,1,1
14062545,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.76,$150.00 ,Entire home/apt,1.5,2,3
1107994,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.29,$151.00 ,Entire home/apt,1,1,1
31105678,Australia,NSW,BALLINA SHIRE COUNCIL,Camper/RV,19.20,$90.00 ,Private room,1,1,3
21884866,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.73,$125.00 ,Entire home/apt,1,1,1
17725937,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.90,$111.00 ,Entire home/apt,1,1,1
2461879,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,18.67,$95.00 ,Private room,1,1,1
15749477,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.15,$99.00 ,Private room,1,1,1
20972306,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.56,$119.00 ,Entire home/apt,1,0,1
21625127,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.00,$150.00 ,Entire home/apt,1,1,2
25059196,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.57,$114.00 ,Entire home/apt,1,1,2
27968931,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.45,$95.00 ,Entire home/apt,1,1,1
22216216,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.22,$119.00 ,Entire home/apt,1,1,1
20875516,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.08,$135.00 ,Entire home/apt,1,1,3
4440725,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.59,$111.00 ,Private room,1,1,1
30567735,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.84,$125.00 ,Entire home/apt,1,1,2
16679347,Australia,New South Wales,BALLINA SHIRE COUNCIL,Guest suite,20.81,$151.00 ,Entire home/apt,1,2,2
22193970,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.76,$145.00 ,Entire home/apt,1,1,1
17835642,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.45,$99.00 ,Entire home/apt,1,0,1
16844871,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.40,$127.00 ,Entire home/apt,1,0,1
22069495,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.80,$111.00 ,Entire home/apt,1,1,1
31063205,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.31,$140.00 ,Private room,1,1,1
430744,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.34,$135.00 ,Entire home/apt,1,1,1
28969828,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.54,$121.00 ,Private room,1,2,2
33404353,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.35,$121.00 ,Entire home/apt,1,1,1
1127830,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.23,$121.00 ,Entire home/apt,1,1,1
13128022,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,21.92,$142.00 ,Entire home/apt,1,2,3
16616675,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.40,$145.00 ,Entire home/apt,1,1,2
23843472,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.87,$104.00 ,Entire home/apt,1,0,1
18923401,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.63,$125.00 ,Private room,1,1,1
19255867,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.84,$125.00 ,Private room,1,1,2
34095501,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.06,$141.00 ,Entire home/apt,1,2,2
27492998,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.20,$158.00 ,Entire home/apt,1,2,2
24525724,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.49,$129.00 ,Entire home/apt,1.5,2,5
23880255,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.62,$135.00 ,Private room,1,1,1
16946599,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.28,$138.00 ,Entire home/apt,1,1,1
16409173,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.55,$139.00 ,Entire home/apt,1.5,2,4
24357472,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.40,$145.00 ,Entire home/apt,1.5,2,2
7517679,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.53,$151.00 ,Entire home/apt,1,2,3
28287001,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.44,$115.00 ,Entire home/apt,1,0,1
19037407,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,21.51,$150.00 ,Private room,1,2,4
19061805,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.99,$129.00 ,Entire home/apt,1,2,3
10436696,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,26.52,$210.00 ,Entire home/apt,1,1,1
20727773,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.12,$140.00 ,Entire home/apt,2,2,3
1557937,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.92,$135.00 ,Entire home/apt,2,3,3
19892782,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.82,$175.00 ,Entire home/apt,1,1,1
15807139,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.44,$139.00 ,Entire home/apt,1,1,1
33948547,Australia,NSW,BALLINA SHIRE COUNCIL,House,21.77,$121.00 ,Entire home/apt,1,1,1
21791354,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,21.99,$156.00 ,Entire home/apt,1,1,1
10527125,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.17,$193.00 ,Entire home/apt,1,1,1
8536625,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.96,$150.00 ,Entire home/apt,1,1,1
11743458,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,26.01,$228.00 ,Entire home/apt,2,2,3
23834424,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.55,$180.00 ,Private room,2,1,1
5177766,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.08,$143.00 ,Entire home/apt,1,1,2
